
Entidad ,Fecha,Tasa por cada cien mil mujeres
Guerrero,1993,2.42
Hidalgo,1993,0.78
Jalisco,1993,1.76
México,1993,9.05
Michoacán de Ocampo,1993,3.76
Morelos,1993,4.47
Nayarit,1993,3.02
Nuevo León,1993,0.7
Oaxaca,1993,5.55
Puebla,1993,2.98
Querétaro,1993,0.74
Quintana Roo,1993,1.85
San Luis Potosí,1993,1.77
Sinaloa,1993,2.26
Sonora,1993,1.13
Tabasco,1993,1.37
Tamaulipas,1993,1.08
Tlaxcala,1993,0.9
Veracruz de Ignacio de la Llave,1993,1.58
Yucatán,1993,0.78
Zacatecas,1993,0.72
Nacional,1994,3.14
Aguascalientes,1994,0.88
Baja California,1994,3
Baja California Sur,1994,1.09
Campeche,1994,1.63
Coahuila de Zaragoza,1994,1.2
Colima,1994,3.18
Chiapas,1994,3.83
Chihuahua,1994,2.92
Ciudad de México,1994,2.49
Durango,1994,2.81
Guanajuato,1994,1.31
Guerrero,1994,6.72
Hidalgo,1994,1.21
Jalisco,1994,1.89
México,1994,8.22
Michoacán de Ocampo,1994,3.73
Morelos,1994,3.73
Nayarit,1994,3.44
Nuevo León,1994,0.8
Oaxaca,1994,4.98
Puebla,1994,1.75
Querétaro,1994,1.15
Quintana Roo,1994,4.68
San Luis Potosí,1994,1.14
Sinaloa,1994,3.17
Sonora,1994,1.81
Tabasco,1994,2.46
Tamaulipas,1994,3.09
Tlaxcala,1994,0.22
Veracruz de Ignacio de la Llave,1994,1.47
Yucatán,1994,0.51
Zacatecas,1994,1.29
Nacional,1995,3.18
Aguascalientes,1995,1.07
Baja California,1995,2.78
Baja California Sur,1995,4.22
Campeche,1995,3.18
Coahuila de Zaragoza,1995,1.27
Colima,1995,2.34
Chiapas,1995,3.79
Chihuahua,1995,6.07
Ciudad de México,1995,2.37
Durango,1995,1.94
Guanajuato,1995,1.21
Guerrero,1995,4.92
Hidalgo,1995,1.8
Jalisco,1995,2.22
México,1995,6.98
Michoacán de Ocampo,1995,3.99
Morelos,1995,4.33
Nayarit,1995,4.53
Nuevo León,1995,0.73
Oaxaca,1995,5.99
Puebla,1995,2.84
Querétaro,1995,0.84
Quintana Roo,1995,2.5
San Luis Potosí,1995,1.82
Sinaloa,1995,2.19
Sonora,1995,1.77
Tabasco,1995,2.63
Tamaulipas,1995,2.63
Tlaxcala,1995,1.71
Veracruz de Ignacio de la Llave,1995,1.65
Yucatán,1995,0.75
Zacatecas,1995,1.57
Nacional,1996,3.05
Aguascalientes,1996,0.84
Baja California,1996,3.69
Baja California Sur,1996,1.53
Campeche,1996,2.48
Coahuila de Zaragoza,1996,1.07
Colima,1996,1.92
Chiapas,1996,3.43
Chihuahua,1996,5.79
Ciudad de México,1996,2.41
Durango,1996,0.69
Guanajuato,1996,1.08
Guerrero,1996,5.13
Hidalgo,1996,1.02
Jalisco,1996,2.25
México,1996,6.73
Michoacán de Ocampo,1996,5.55
Morelos,1996,4.65
Nayarit,1996,3.13
Nuevo León,1996,0.71
Oaxaca,1996,5.7
Puebla,1996,2.24
Querétaro,1996,2.06
Quintana Roo,1996,1.59
San Luis Potosí,1996,1.63
Sinaloa,1996,1.74
Sonora,1996,2.31
Tabasco,1996,1.61
Tamaulipas,1996,2.02
Tlaxcala,1996,2.3
Veracruz de Ignacio de la Llave,1996,1.28
Yucatán,1996,0.62
Zacatecas,1996,1.7
Nacional,1997,2.73
Aguascalientes,1997,0.62
Baja California,1997,2.39
Baja California Sur,1997,0.49
Campeche,1997,2.42
Coahuila de Zaragoza,1997,1.49
Colima,1997,1.51
Chiapas,1997,3.51
Chihuahua,1997,4.94
Ciudad de México,1997,2.51
Durango,1997,2.18
Guanajuato,1997,0.75
Guerrero,1997,5.02
Hidalgo,1997,1.59
Jalisco,1997,1.72
México,1997,6.11
Michoacán de Ocampo,1997,2.97
Morelos,1997,2.67
Nayarit,1997,1.55
Nuevo León,1997,1.07
Oaxaca,1997,4.66
Puebla,1997,1.82
Querétaro,1997,2.28
Quintana Roo,1997,3.02
San Luis Potosí,1997,0.76
Sinaloa,1997,2.13
Sonora,1997,1.88
Tabasco,1997,2.11
Tamaulipas,1997,1.45
Tlaxcala,1997,1.85
Veracruz de Ignacio de la Llave,1997,1.84
Yucatán,1997,0.85
Zacatecas,1997,1.13
Nacional,1998,3.09
Aguascalientes,1998,2.42
Baja California,1998,5.13
Baja California Sur,1998,1.91
Campeche,1998,2.37
Coahuila de Zaragoza,1998,1.72
Colima,1998,5.21
Chiapas,1998,5.11
Chihuahua,1998,4.83
Ciudad de México,1998,3.24
Durango,1998,2.96
Guanajuato,1998,1.25
Guerrero,1998,6.53
Hidalgo,1998,2.16
Jalisco,1998,2.04
México,1998,5.51
Michoacán de Ocampo,1998,2.67
Morelos,1998,2.89
Nayarit,1998,1.31
Nuevo León,1998,0.84
Oaxaca,1998,4.29
Puebla,1998,2.93
Querétaro,1998,0.39
Quintana Roo,1998,3.13
San Luis Potosí,1998,2.27
Sinaloa,1998,2.74
Sonora,1998,2.3
Tabasco,1998,1.86
Tamaulipas,1998,2.53
Tlaxcala,1998,2.61
Veracruz de Ignacio de la Llave,1998,1.28
Yucatán,1998,1.07
Zacatecas,1998,1.69
Nacional,1999,2.79
Aguascalientes,1999,0
Baja California,1999,4.29
Baja California Sur,1999,2.31
Campeche,1999,1.74
Coahuila de Zaragoza,1999,1.61
Colima,1999,3.67
Chiapas,1999,3.49
Chihuahua,1999,3.7
Ciudad de México,1999,2.74
Durango,1999,1.87
Guanajuato,1999,1.58
Guerrero,1999,5.43
Hidalgo,1999,1.89
Jalisco,1999,1.96
México,1999,4.75
Michoacán de Ocampo,1999,1.71
Morelos,1999,5.59
Nayarit,1999,2.17
Nuevo León,1999,0.83
Oaxaca,1999,4.24
Puebla,1999,2.29
Querétaro,1999,1.8
Quintana Roo,1999,3.22
San Luis Potosí,1999,2.67
Sinaloa,1999,3.11
Sonora,1999,2.52
Tabasco,1999,1.93
Tamaulipas,1999,3.2
Tlaxcala,1999,3.15
Veracruz de Ignacio de la Llave,1999,1.38
Yucatán,1999,1.29
Zacatecas,1999,1.13
Nacional,2000,2.54
Aguascalientes,2000,0.78
Baja California,2000,2.39
Baja California Sur,2000,2.24
Campeche,2000,1.42
Coahuila de Zaragoza,2000,1.41
Colima,2000,3.62
Chiapas,2000,2.47
Chihuahua,2000,3.95
Ciudad de México,2000,2.47
Durango,2000,1.33
Guanajuato,2000,1.45
Guerrero,2000,4.72
Hidalgo,2000,1.79
Jalisco,2000,1.75
México,2000,4.85
Michoacán de Ocampo,2000,2.36
Morelos,2000,2.7
Nayarit,2000,1.07
Nuevo León,2000,1.42
Oaxaca,2000,4
Puebla,2000,1.85
Querétaro,2000,2.27
Quintana Roo,2000,1.54
San Luis Potosí,2000,2.9
Sinaloa,2000,2.2
Sonora,2000,1.15
Tabasco,2000,1
Tamaulipas,2000,3.48
Tlaxcala,2000,3.09
Veracruz de Ignacio de la Llave,2000,1.4
Yucatán,2000,1.38
Zacatecas,2000,0.42
Nacional,2001,2.53
Aguascalientes,2001,0.57
Baja California,2001,3.4
Baja California Sur,2001,2.61
Campeche,2001,1.39
Coahuila de Zaragoza,2001,2.7
Colima,2001,3.21
Chiapas,2001,0.84
Chihuahua,2001,5.18
Ciudad de México,2001,2.34
Durango,2001,1.97
Guanajuato,2001,1.56
Guerrero,2001,3.72
Hidalgo,2001,1.62
Jalisco,2001,1.55
México,2001,4.92
Michoacán de Ocampo,2001,3.48
Morelos,2001,3.64
Nayarit,2001,3.82
Nuevo León,2001,0.5
Oaxaca,2001,3.29
Puebla,2001,2.49
Querétaro,2001,2.11
Quintana Roo,2001,3.8
San Luis Potosí,2001,2.38
Sinaloa,2001,2.02
Sonora,2001,1.82
Tabasco,2001,0.79
Tamaulipas,2001,1.81
Tlaxcala,2001,2.09
Veracruz de Ignacio de la Llave,2001,1.4
Yucatán,2001,0.23
Zacatecas,2001,1.12
Nacional,2002,2.44
Aguascalientes,2002,1.12
Baja California,2002,2.55
Baja California Sur,2002,1.26
Campeche,2002,0.82
Coahuila de Zaragoza,2002,1.37
Colima,2002,1.75
Chiapas,2002,3.66
Chihuahua,2002,4.75
Ciudad de México,2002,2.32
Durango,2002,2.59
Guanajuato,2002,1.28
Guerrero,2002,3.14
Hidalgo,2002,0.64
Jalisco,2002,2
México,2002,4.46
Michoacán de Ocampo,2002,2.94
Morelos,2002,1.44
Nayarit,2002,3.77
Nuevo León,2002,0.88
Oaxaca,2002,3.32
Puebla,2002,2.64
Querétaro,2002,1.22
Quintana Roo,2002,2.84
San Luis Potosí,2002,1.14
Sinaloa,2002,2.07
Sonora,2002,2.47
Tabasco,2002,1.17
Tamaulipas,2002,1.02
Tlaxcala,2002,2.61
Veracruz de Ignacio de la Llave,2002,1.36
Yucatán,2002,0.67
Zacatecas,2002,2.36
Nacional,2003,2.48
Aguascalientes,2003,1.1
Baja California,2003,3.58
Baja California Sur,2003,2.03
Campeche,2003,2.15
Coahuila de Zaragoza,2003,1.82
Colima,2003,2.41
Chiapas,2003,2.96
Chihuahua,2003,3.96
Ciudad de México,2003,2.95
Durango,2003,2.44
Guanajuato,2003,1.15
Guerrero,2003,3.96
Hidalgo,2003,0.79
Jalisco,2003,1.51
México,2003,4.48
Michoacán de Ocampo,2003,2.87
Morelos,2003,1.42
Nayarit,2003,1.44
Nuevo León,2003,1.15
Oaxaca,2003,3.66
Puebla,2003,2.07
Querétaro,2003,1.07
Quintana Roo,2003,4.86
San Luis Potosí,2003,1.37
Sinaloa,2003,1.81
Sonora,2003,1.84
Tabasco,2003,1.72
Tamaulipas,2003,2.2
Tlaxcala,2003,1.65
Veracruz de Ignacio de la Llave,2003,1.33
Yucatán,2003,1.65
Zacatecas,2003,1.52
Nacional,2004,2.25
Aguascalientes,2004,1.08
Baja California,2004,2.77
Baja California Sur,2004,1.96
Campeche,2004,1.05
Coahuila de Zaragoza,2004,2.18
Colima,2004,2.03
Chiapas,2004,1.06
Chihuahua,2004,3.03
Ciudad de México,2004,2.93
Durango,2004,2.29
Guanajuato,2004,0.85
Guerrero,2004,3.39
Hidalgo,2004,0.47
Jalisco,2004,1.52
México,2004,4.04
Michoacán de Ocampo,2004,2.67
Morelos,2004,1.87
Nayarit,2004,3.86
Nuevo León,2004,1.27
Oaxaca,2004,4.36
Puebla,2004,1.94
Querétaro,2004,1.4
Quintana Roo,2004,4.3
San Luis Potosí,2004,0.8
Sinaloa,2004,1.57
Sonora,2004,2.21
Tabasco,2004,1.51
Tamaulipas,2004,2.03
Tlaxcala,2004,2.34
Veracruz de Ignacio de la Llave,2004,1.13
Yucatán,2004,0.65
Zacatecas,2004,1.24
Nacional,2005,2.37
Aguascalientes,2005,1.24
Baja California,2005,2.64
Baja California Sur,2005,1.13
Campeche,2005,1.03
Coahuila de Zaragoza,2005,1.76
Colima,2005,3.33
Chiapas,2005,1.3
Chihuahua,2005,3.71
Ciudad de México,2005,2.74
Durango,2005,2.14
Guanajuato,2005,1.28
Guerrero,2005,3.49
Hidalgo,2005,0.69
Jalisco,2005,1.11
México,2005,5.24
Michoacán de Ocampo,2005,2.34
Morelos,2005,2.31
Nayarit,2005,2.4
Nuevo León,2005,0.88
Oaxaca,2005,3.72
Puebla,2005,1.99
Querétaro,2005,1.15
Quintana Roo,2005,2.71
San Luis Potosí,2005,0.71
Sinaloa,2005,1.85
Sonora,2005,2.01
Tabasco,2005,0.93
Tamaulipas,2005,2.83
Tlaxcala,2005,2.12
Veracruz de Ignacio de la Llave,2005,1.34
Yucatán,2005,0.43
Zacatecas,2005,2.18
Nacional,2006,2.34
Aguascalientes,2006,1.22
Baja California,2006,2.37
Baja California Sur,2006,1.82
Campeche,2006,1.02
Coahuila de Zaragoza,2006,1.21
Colima,2006,1.31
Chiapas,2006,3.41
Chihuahua,2006,3.53
Ciudad de México,2006,2.27
Durango,2006,1.49
Guanajuato,2006,0.94
Guerrero,2006,5.63
Hidalgo,2006,0.92
Jalisco,2006,1.85
México,2006,3.76
Michoacán de Ocampo,2006,3.78
Morelos,2006,2.05
Nayarit,2006,2.55
Nuevo León,2006,1
Oaxaca,2006,3.24
Puebla,2006,1.86
Querétaro,2006,1.36
Quintana Roo,2006,2.09
San Luis Potosí,2006,1.33
Sinaloa,2006,1.68
Sonora,2006,2.14
Tabasco,2006,1.47
Tamaulipas,2006,3.35
Tlaxcala,2006,1.74
Veracruz de Ignacio de la Llave,2006,1.2
Yucatán,2006,0.84
Zacatecas,2006,1.62
Nacional,2007,1.94
Aguascalientes,2007,1.03
Baja California,2007,1.79
Baja California Sur,2007,2.46
Campeche,2007,1.75
Coahuila de Zaragoza,2007,1.12
Colima,2007,1.92
Chiapas,2007,0.55
Chihuahua,2007,2.94
Ciudad de México,2007,2.72
Durango,2007,1.1
Guanajuato,2007,1.11
Guerrero,2007,4.54
Hidalgo,2007,0.9
Jalisco,2007,1.52
México,2007,2.54
Michoacán de Ocampo,2007,2.17
Morelos,2007,1.79
Nayarit,2007,2.5
Nuevo León,2007,1.02
Oaxaca,2007,3.58
Puebla,2007,1.57
Querétaro,2007,1
Quintana Roo,2007,3.35
San Luis Potosí,2007,1.86
Sinaloa,2007,2.45
Sonora,2007,2.1
Tabasco,2007,1.72
Tamaulipas,2007,1.55
Tlaxcala,2007,2.06
Veracruz de Ignacio de la Llave,2007,1.14
Yucatán,2007,1.35
Zacatecas,2007,1.47
Nacional,2008,2.55
Aguascalientes,2008,1.01
Baja California,2008,5.39
Baja California Sur,2008,1.02
Campeche,2008,1.22
Coahuila de Zaragoza,2008,1.76
Colima,2008,2.2
Chiapas,2008,1.36
Chihuahua,2008,10.7
Ciudad de México,2008,2.82
Durango,2008,3.39
Guanajuato,2008,1.38
Guerrero,2008,5.41
Hidalgo,2008,1.04
Jalisco,2008,1.57
México,2008,2.83
Michoacán de Ocampo,2008,3.21
Morelos,2008,2.65
Nayarit,2008,2.82
Nuevo León,2008,1.09
Oaxaca,2008,3.39
Puebla,2008,1.51
Querétaro,2008,1.2
Quintana Roo,2008,3.23
San Luis Potosí,2008,1.84
Sinaloa,2008,2.06
Sonora,2008,2.98
Tabasco,2008,2.24
Tamaulipas,2008,2.5
Tlaxcala,2008,2.19
Veracruz de Ignacio de la Llave,2008,1.46
Yucatán,2008,0.72
Zacatecas,2008,1.06
Nacional,2009,3.37
Aguascalientes,2009,1.82
Baja California,2009,9.74
Baja California Sur,2009,1.96
Campeche,2009,1.92
Coahuila de Zaragoza,2009,1.95
Colima,2009,3.07
Chiapas,2009,2.64
Chihuahua,2009,13.03
Ciudad de México,2009,2.25
Durango,2009,6.68
Guanajuato,2009,1.58
Guerrero,2009,8.78
Hidalgo,2009,1.6
Jalisco,2009,1.63
México,2009,3.57
Michoacán de Ocampo,2009,3.53
Morelos,2009,2.72
Nayarit,2009,3.67
Nuevo León,2009,2.06
Oaxaca,2009,3.76
Puebla,2009,1.63
Querétaro,2009,1.29
Quintana Roo,2009,1.71
San Luis Potosí,2009,2.19
Sinaloa,2009,5.55
Sonora,2009,4.73
Tabasco,2009,2.56
Tamaulipas,2009,4.2
Tlaxcala,2009,1.49
Veracruz de Ignacio de la Llave,2009,2.56
Yucatán,2009,0.3
Zacatecas,2009,1.05
Nacional,2010,4.17
Aguascalientes,2010,1.63
Baja California,2010,7.19
Baja California Sur,2010,2.84
Campeche,2010,2.13
Coahuila de Zaragoza,2010,4.21
Colima,2010,1.5
Chiapas,2010,0.88
Chihuahua,2010,32.36
Ciudad de México,2010,3.11
Durango,2010,10.61
Guanajuato,2010,1.77
Guerrero,2010,7.17
Hidalgo,2010,1.44
Jalisco,2010,2.21
México,2010,3.57
Michoacán de Ocampo,2010,2.76
Morelos,2010,4.4
Nayarit,2010,8.8
Nuevo León,2010,3.97
Oaxaca,2010,4.12
Puebla,2010,1.74
Querétaro,2010,0.74
Quintana Roo,2010,4.52
San Luis Potosí,2010,2.76
Sinaloa,2010,8.06
Sonora,2010,3.69
Tabasco,2010,1.92
Tamaulipas,2010,6.1
Tlaxcala,2010,1.14
Veracruz de Ignacio de la Llave,2010,1.51
Yucatán,2010,0.3
Zacatecas,2010,1.94
Nacional,2011,4.6
Aguascalientes,2011,2.41
Baja California,2011,5.97
Baja California Sur,2011,3.04
Campeche,2011,2.09
Coahuila de Zaragoza,2011,4.5
Colima,2011,5
Chiapas,2011,1.03
Chihuahua,2011,23.66
Ciudad de México,2011,3.01
Durango,2011,7.81
Guanajuato,2011,2.24
Guerrero,2011,10.42
Hidalgo,2011,1.98
Jalisco,2011,2.78
México,2011,4.32
Michoacán de Ocampo,2011,3.48
Morelos,2011,4.87
Nayarit,2011,9.32
Nuevo León,2011,10.1
Oaxaca,2011,3.79
Puebla,2011,2.14
Querétaro,2011,1.76
Quintana Roo,2011,3.5
San Luis Potosí,2011,3.76
Sinaloa,2011,7.36
Sonora,2011,3.77
Tabasco,2011,1.81
Tamaulipas,2011,4.5
Tlaxcala,2011,2.73
Veracruz de Ignacio de la Llave,2011,3.98
Yucatán,2011,0.69
Zacatecas,2011,2.43
Nacional,2012,4.62
Aguascalientes,2012,1.9
Baja California,2012,4.54
Baja California Sur,2012,1.17
Campeche,2012,3.66
Coahuila de Zaragoza,2012,9.24
Colima,2012,7.21
Chiapas,2012,2.53
Chihuahua,2012,14.05
Ciudad de México,2012,2.73
Durango,2012,7.83
Guanajuato,2012,2.28
Guerrero,2012,13.39
Hidalgo,2012,2.31
Jalisco,2012,3.72
México,2012,4.68
Michoacán de Ocampo,2012,3.75
Morelos,2012,6.9
Nayarit,2012,3.79
Nuevo León,2012,6.55
Oaxaca,2012,4.4
Puebla,2012,1.96
Querétaro,2012,1.93
Quintana Roo,2012,4.23
San Luis Potosí,2012,3.94
Sinaloa,2012,4.83
Sonora,2012,3.14
Tabasco,2012,1.88
Tamaulipas,2012,10.28
Tlaxcala,2012,2.22
Veracruz de Ignacio de la Llave,2012,3.26
Yucatán,2012,0.78
Zacatecas,2012,7.35
Nacional,2013,4.31
Aguascalientes,2013,1.4
Baja California,2013,4.64
Baja California Sur,2013,3.69
Campeche,2013,3.15
Coahuila de Zaragoza,2013,6.99
Colima,2013,5.66
Chiapas,2013,3.03
Chihuahua,2013,9.61
Ciudad de México,2013,3.08
Durango,2013,5.69
Guanajuato,2013,2.53
Guerrero,2013,12.57
Hidalgo,2013,2.14
Jalisco,2013,3.35
México,2013,5.54
Michoacán de Ocampo,2013,4.1
Morelos,2013,6.6
Nayarit,2013,3.04
Nuevo León,2013,4.55
Oaxaca,2013,5.14
Puebla,2013,3.3
Querétaro,2013,2.1
Quintana Roo,2013,3.55
San Luis Potosí,2013,2.53
Sinaloa,2013,4.45
Sonora,2013,3.73
Tabasco,2013,2.36
Tamaulipas,2013,5.3
Tlaxcala,2013,2.34
Veracruz de Ignacio de la Llave,2013,2.42
Yucatán,2013,1.24
Zacatecas,2013,6.03
Nacional,2014,3.85
Aguascalientes,2014,0.61
Baja California,2014,4.51
Baja California Sur,2014,2.75
Campeche,2014,2.66
Coahuila de Zaragoza,2014,4
Colima,2014,5
Chiapas,2014,2.42
Chihuahua,2014,9.12
Ciudad de México,2014,3.08
Durango,2014,3.15
Guanajuato,2014,2.31
Guerrero,2014,10.02
Hidalgo,2014,2.72
Jalisco,2014,2.78
México,2014,4.29
Michoacán de Ocampo,2014,3.65
Morelos,2014,5.09
Nayarit,2014,4.14
Nuevo León,2014,2.98
Oaxaca,2014,6.59
Puebla,2014,2.92
Querétaro,2014,1.87
Quintana Roo,2014,2.91
San Luis Potosí,2014,3
Sinaloa,2014,6.01
Sonora,2014,4.02
Tabasco,2014,2.25
Tamaulipas,2014,7.21
Tlaxcala,2014,4
Veracruz de Ignacio de la Llave,2014,2.33
Yucatán,2014,0.75
Zacatecas,2014,2.99
Nacional,2015,3.75
Aguascalientes,2015,1.06
Baja California,2015,6.34
Baja California Sur,2015,6.12
Campeche,2015,1.96
Coahuila de Zaragoza,2015,4.08
Colima,2015,7.09
Chiapas,2015,2.58
Chihuahua,2015,6.85
Ciudad de México,2015,2.94
Durango,2015,0.89
Guanajuato,2015,3.51
Guerrero,2015,11.53
Hidalgo,2015,3.36
Jalisco,2015,3.44
México,2015,4.64
Michoacán de Ocampo,2015,3.53
Morelos,2015,4.73
Nayarit,2015,1.95
Nuevo León,2015,2.15
Oaxaca,2015,4.4
Puebla,2015,2.76
Querétaro,2015,2.13
Quintana Roo,2015,2.83
San Luis Potosí,2015,2.83
Sinaloa,2015,3.31
Sonora,2015,4.24
Tabasco,2015,2.72
Tamaulipas,2015,4.51
Tlaxcala,2015,1.82
Veracruz de Ignacio de la Llave,2015,2.6
Yucatán,2015,0.84
Zacatecas,2015,2.59
Nacional,2016,4.38
Aguascalientes,2016,0.6
Baja California,2016,7.15
Baja California Sur,2016,3.1
Campeche,2016,2.15
Coahuila de Zaragoza,2016,2.51
Colima,2016,16.35
Chiapas,2016,2.87
Chihuahua,2016,8.83
Ciudad de México,2016,3.12
Durango,2016,1.32
Guanajuato,2016,3.97
Guerrero,2016,13.13
Hidalgo,2016,2.85
Jalisco,2016,3.15
México,2016,4.81
Michoacán de Ocampo,2016,5.39
Morelos,2016,8.35
Nayarit,2016,3.66
Nuevo León,2016,3.08
Oaxaca,2016,4.94
Puebla,2016,2.95
Querétaro,2016,1.53
Quintana Roo,2016,3.5
San Luis Potosí,2016,2.17
Sinaloa,2016,5.51
Sonora,2016,3.5
Tabasco,2016,3.84
Tamaulipas,2016,6.93
Tlaxcala,2016,1.64
Veracruz de Ignacio de la Llave,2016,3.27
Yucatán,2016,0.83
Zacatecas,2016,9.66
Nacional,2017,5.33
Aguascalientes,2017,1.0
Baja California,2017,11.7
Baja California Sur,2017,21.3
Campeche,2017,1.2
Coahuila de Zaragoza,2017,2.3
Colima,2017,19.7
Chiapas,2017,2.3
Chihuahua,2017,13.1
Ciudad de México,2017,3.0
Durango,2017,2.9
Guanajuato,2017,7.0
Guerrero,2017,11.4
Hidalgo,2017,3.5
Jalisco,2017,3.5
México,2017,5.4
Michoacán de Ocampo,2017,6.0
Morelos,2017,7.7
Nayarit,2017,9.7
Nuevo León,2017,2.3
Oaxaca,2017,5.8
Puebla,2017,4.2
Querétaro,2017,3.2
Quintana Roo,2017,5.8
San Luis Potosí,2017,3.6
Sinaloa,2017,5.4
Sonora,2017,4.2
Tabasco,2017,3.5
Tamaulipas,2017,7.7
Tlaxcala,2017,2.9
Veracruz de Ignacio de la Llave,2017,4.6
Yucatán,2017,1.2
Zacatecas,2017,11.6
Nacional,2018,5.4
Aguascalientes,2018,1.1
Baja California,2018,14.8
Baja California Sur,2018,6.1
Campeche,2018,2.5
Coahuila de Zaragoza,2018,1.5
Colima,2018,20.9
Chiapas,2018,1.6
Chihuahua,2018,13.5
Ciudad de México,2018,2.9
Durango,2018,2.2
Guanajuato,2018,11.0
Guerrero,2018,11.6
Hidalgo,2018,2.9
Jalisco,2018,6.0
México,2018,5.2
Michoacán de Ocampo,2018,7.0
Morelos,2018,7.9
Nayarit,2018,5.7
Nuevo León,2018,3.2
Oaxaca,2018,5.5
Puebla,2018,3.8
Querétaro,2018,2.5
Quintana Roo,2018,10.7
San Luis Potosí,2018,3.7
Sinaloa,2018,2.8
Sonora,2018,4.0
Tabasco,2018,3.6
Tamaulipas,2018,6.2
Tlaxcala,2018,2.6
Veracruz de Ignacio de la Llave,2018,3.1
Yucatán,2018,0.8
Zacatecas,2018,11.0
